User_ID,Session_Date,Page_Views,Clicks
U0931,2023-12-29,5,2
U0932,2023-12-13,11,9
U0933,2024-02-28,13,5
U0934,2024-02-24,2,2
U0935,2023-12-04,10,4
U0936,2023-10-27,3,2
U0937,2023-10-10,8,6
U0938,2023-12-16,12,9
U0939,2023-12-30,13,9
U0940,2024-02-18,14,4
U0941,2023-11-03,11,10
U0942,2023-09-21,9,8
U0943,2024-01-14,12,6
U0944,2023-09-20,15,10
U0945,2023-09-29,1,1
U0946,2024-01-25,9,3
U0947,2023-10-13,6,5
U0948,2023-12-23,2,1
U0949,2024-01-28,8,2
U0950,2024-01-09,8,1
U0951,2023-12-26,3,3
U0952,2023-12-16,8,1
U0953,2024-01-22,8,5
U0954,2023-09-06,7,3
U0955,2023-09-01,12,4
U0956,2024-01-27,2,1
U0957,2023-12-18,6,6
U0958,2023-09-17,9,1
U0959,2023-09-18,15,8
U0960,2023-09-09,5,4
U0961,2023-10-17,13,3
U0962,2024-02-12,12,11
U0963,2023-12-17,6,4
U0964,2023-12-24,14,7
U0965,2023-12-06,2,1
U0966,2024-02-15,14,6
U0967,2023-10-01,3,3
U0968,2023-12-10,9,3
U0969,2023-10-28,14,1
U0970,2023-09-06,5,4
U0971,2024-02-20,12,9
U0972,2023-12-18,9,7
U0973,2023-10-29,4,4
U0974,2023-11-28,3,2
U0975,2023-10-19,15,15
U0976,2023-09-29,1,1
U0977,2024-02-05,13,1
U0978,2023-11-01,4,1
U0979,2023-09-26,10,1
U0980,2023-12-24,10,1
U0981,2023-11-02,12,1
U0982,2023-12-12,8,4
U0983,2024-01-17,4,1
U0984,2023-10-06,9,5
U0985,2023-10-30,14,12
U0986,2024-01-26,6,5
U0987,2024-02-01,13,11
U0988,2023-11-22,4,3
U0989,2023-10-07,11,9
U0990,2023-10-27,7,3
U0991,2023-11-10,1,1
U0992,2024-02-08,11,7
U0993,2024-01-21,8,1
U0994,2023-11-28,11,11
U0995,2023-12-07,13,9
U0996,2023-11-21,12,7
U0997,2023-12-14,3,2
U0998,2023-12-06,3,3
U0999,2023-12-31,4,2
U1000,2023-11-16,14,12
